Designator,Mid X,Mid Y,Rotation,Layer
C1,178.6375,-36.45,270.0,top
C10,245.6,-38.3,0.0,top
C11,224.9,-39.8,90.0,top
C12,222.9,-43.3,270.0,top
C13,245.8,-44.9,270.0,top
C14,224.9,-43.3,270.0,top
C15,242.3,-44.9,270.0,top
C16,242.3,-38.4,180.0,top
C17,269.8,-87.5,270.0,bottom
C18,260.0,-29.902651,90.0,top
C19,249.2,-97.8,180.0,bottom
C2,178.6375,-39.95,90.0,top
C20,247.2,-93.0,0.0,bottom
C21,203.8,-94.0,180.0,bottom
C22,212.6,-92.8,0.0,bottom
C23,215.0,-98.0,0.0,bottom
C24,208.6,-97.4,270.0,bottom
C25,199.0,-97.4,180.0,bottom
C26,199.0,-93.8,180.0,bottom
C27,243.8,-96.2,270.0,bottom
C28,201.6625,-84.0,0.0,bottom
C29,221.8,-97.4,180.0,bottom
C3,201.2,-35.7,90.0,top
C30,221.8,-93.8,180.0,bottom
C31,241.0,-94.0,0.0,bottom
C32,201.6625,-85.6,180.0,bottom
C33,199.0,-99.0,0.0,bottom
C34,198.4,-103.8,0.0,bottom
C35,195.58,-76.93,90.0,bottom
C36,193.98,-78.93,270.0,bottom
C37,256.8,-97.0,0.0,bottom
C38,253.0,-94.0,0.0,bottom
C39,229.4,-94.0,0.0,bottom
C4,198.6,-45.3,0.0,top
C40,236.2,-93.0,0.0,bottom
C41,237.0,-97.8,180.0,bottom
C42,231.4,-97.0,180.0,bottom
C43,224.6,-84.4,0.0,bottom
C44,224.6,-86.0,180.0,bottom
C45,221.8,-99.0,0.0,bottom
C46,221.7375,-103.8,0.0,bottom
C47,186.6425,-76.33,270.0,bottom
C48,188.6425,-76.33,270.0,bottom
C49,191.8425,-79.8675,90.0,bottom
C5,188.4,-40.5,270.0,top
C50,192.2425,-75.13,270.0,bottom
C51,256.1,-70.9,270.0,bottom
C52,253.7,-70.9,270.0,bottom
C53,252.47,-80.8,90.0,bottom
C54,251.1,-76.3625,270.0,bottom
C55,249.5,-69.7,90.0,bottom
C56,269.8,-84.2,90.0,bottom
C6,191.6,-33.1,180.0,top
C7,242.0,-29.902651,90.0,top
C8,243.8,-44.9,270.0,top
C9,247.3,-44.9,270.0,top
D1,232.0,-31.0,90.0,top
D10,245.2,-71.8,270.0,top
D11,243.2,-71.8,270.0,top
D12,241.2,-71.8,270.0,top
D13,239.2,-71.8,270.0,top
D14,231.0,-65.75,90.0,top
D15,180.4,-55.9,90.0,top
D16,206.0,-40.5,180.0,top
D17,180.4,-48.68,90.0,top
D18,238.5,-39.6,90.0,top
D2,210.4,-71.8,270.0,top
D3,212.4,-71.8,270.0,top
D4,214.4,-71.8,270.0,top
D5,216.4,-71.8,270.0,top
D6,219.0,-71.8,270.0,top
D7,221.0,-71.8,270.0,top
D8,223.0,-71.8,270.0,top
D9,225.0,-71.8,270.0,top
J1,211.2,-30.4,270.0,top
J2,213.7,-42.69,90.0,top
J3,188.53,-55.68,0.0,top
J4,225.0,-27.9,180.0,top
J6,213.75,-117.175,180.0,top
J7,235.75,-117.175,180.0,top
J8,257.75,-117.175,180.0,top
J9,191.75,-117.175,180.0,top
JP1,199.9,-30.4,270.0,top
K1,231.9725,-79.7725,270.0,top
Q1,234.8,-63.95,180.0,top
R1,201.6125,-26.1,0.0,top
R10,240.7,-44.7875,270.0,top
R11,249.3,-39.8,90.0,top
R12,249.3,-43.2,270.0,top
R13,207.4,-94.0,0.0,bottom
R14,206.4,-101.4,270.0,bottom
R15,208.0,-101.4,270.0,bottom
R16,204.8,-101.4,270.0,bottom
R17,198.375,-107.0,0.0,bottom
R18,198.4,-105.4,180.0,bottom
R19,199.0,-95.4,0.0,bottom
R2,219.6,-38.9,180.0,top
R20,239.8,-102.0,270.0,bottom
R21,244.6,-102.0,270.0,bottom
R22,241.4,-102.0,270.0,bottom
R23,243.0,-102.0,270.0,bottom
R24,201.6875,-87.2,0.0,bottom
R25,202.2,-105.4,0.0,bottom
R26,202.2,-103.8,0.0,bottom
R27,197.8,-84.0,0.0,bottom
R28,197.8,-85.6,180.0,bottom
R29,202.4,-99.0,180.0,bottom
R3,198.2125,-26.1,0.0,top
R30,199.0,-92.22,0.0,bottom
R31,202.4,-97.4,180.0,bottom
R32,197.8,-87.2,0.0,bottom
R33,254.8,-92.4,0.0,bottom
R34,253.2,-89.2,180.0,bottom
R35,252.4,-91.6,90.0,bottom
R36,254.8,-90.8,0.0,bottom
R37,232.0,-92.4,0.0,bottom
R38,240.4,-77.4,180.0,bottom
R39,230.4,-101.0,270.0,bottom
R4,198.6,-46.9,180.0,top
R40,232.0,-101.0,270.0,bottom
R41,228.8,-101.0,270.0,bottom
R42,221.7125,-107.0,0.0,bottom
R43,221.7375,-105.4,180.0,bottom
R44,221.8,-92.2,0.0,bottom
R45,224.6,-87.6,0.0,bottom
R46,225.6,-105.4,0.0,bottom
R47,225.6,-103.8,0.0,bottom
R48,225.2,-95.4,180.0,bottom
R49,225.2,-93.8,180.0,bottom
R5,219.6,-41.4,180.0,top
R50,225.2,-97.4,180.0,bottom
R51,221.0,-86.0,0.0,bottom
R52,225.2,-99.0,180.0,bottom
R53,221.0,-87.6,0.0,bottom
R54,190.2925,-79.8425,270.0,bottom
R55,190.2925,-76.33,270.0,bottom
R56,253.6,-73.3,0.0,bottom
R57,257.0,-73.3,0.0,bottom
R58,251.1,-73.0625,90.0,bottom
R59,251.1,-69.6875,270.0,bottom
R6,191.6,-31.6,0.0,top
R60,247.9,-69.6875,270.0,bottom
R61,247.9,-73.0875,90.0,bottom
R62,249.5,-73.1,270.0,bottom
R63,205.9,-38.5,0.0,top
R64,239.2,-44.8,270.0,top
R65,218.1,-30.4,270.0,top
R66,218.1,-27.0,90.0,top
R7,218.4,-34.9,270.0,top
R8,232.0,-27.0,90.0,top
R9,240.7,-41.2875,90.0,top
SW1,190.2,-28.0,180.0,top
TP1,201.6,-89.8,0.0,top
TP10,188.6425,-72.53,90.0,top
TP11,272.0,-34.0,0.0,top
TP12,272.0,-38.0,0.0,top
TP13,272.0,-41.95,0.0,top
TP14,272.0,-46.0,0.0,top
TP15,261.6,-87.0,0.0,top
TP16,232.5,-46.5,0.0,top
TP17,188.6175,-69.255,0.0,top
TP18,208.2,-44.6,0.0,top
TP19,217.6,-95.2,0.0,top
TP2,197.8,-101.6,0.0,top
TP20,270.1,-90.8,0.0,top
TP21,248.4,-76.9,0.0,top
TP3,201.6,-101.6,0.0,top
TP4,197.8,-89.8,0.0,top
TP5,224.4,-90.0,90.0,top
TP6,221.0,-101.2,270.0,top
TP7,188.6425,-80.3925,90.0,top
TP8,224.4,-101.2,270.0,top
TP9,221.0,-90.0,90.0,top
U1,195.1625,-39.25,270.0,top
U10,194.7625,-77.905,270.0,top
U11,254.205,-95.4375,0.0,top
U12,236.0,-95.4,0.0,top
U13,230.0,-95.5125,180.0,top
U14,241.7,-78.7,0.0,top
U15,187.6425,-76.1925,270.0,top
U16,234.8,-67.15,0.0,top
U17,267.8,-65.56,0.0,top
U18,254.4,-72.0,90.0,top
U19,254.8,-77.3,90.0,top
U2,244.6,-41.5,90.0,top
U20,265.94,-85.05,180.0,top
U3,229.9,-40.8,180.0,top
U4,248.195,-95.375,180.0,top
U5,206.2,-95.4,180.0,top
U6,212.0,-95.4,0.0,top
U7,200.0,-95.6,0.0,top
U8,242.105,-95.425,0.0,top
U9,222.8,-95.475,0.0,top
X1,266.65,-81.15,270.0,top
Y1,182.5,-38.2,90.0,top
