index,elapsed_s,model,series_r,series_l,series_c,current_phase_deg,voltage_phase_deg,samples_per_period,current_amplitude_a,shunt_resistance_ohm,current_pga,phase_diff_deg,dds_frequency_hz,shunt_range,voltage_pga,impedance_mag_ohm,impedance_imag_ohm,captured_cycles,voltage_amplitude_v,impedance_real_ohm,sample_rate_hz
1,0.055633,Series RL,0.344724,0.000108166967354,,-130.368652,139.050109,20.000000,0.007850,100.000000,0,89.418792,50000,0,0,33.983402,33.981655,20.000000,0.266763,0.344724,1000000
2,0.113849,Series RL,0.309534,0.000108025443595,,-23.397192,-113.919761,20.000000,0.007852,100.000000,0,89.477432,50000,0,0,33.938606,33.937194,20.000000,0.266501,0.309534,1000000
3,0.169950,Series RL,0.483679,0.000108155842423,,-60.748580,-151.564132,20.000000,0.007854,100.000000,0,89.184448,50000,0,0,33.981601,33.978160,20.000000,0.266875,0.483679,1000000
4,0.223836,Series RL,0.672229,0.000109763008137,,96.233833,5.117022,20.000000,0.007852,100.000000,0,88.883186,50000,0,0,34.489620,34.483066,20.000000,0.270801,0.672229,1000000
5,0.279351,Series RL,0.610355,0.000109969928662,,58.690765,-32.321365,20.000000,0.007853,100.000000,0,88.987861,50000,0,0,34.553462,34.548072,20.000000,0.271357,0.610355,1000000
6,0.331652,Series RL,0.313911,0.000108014114947,,-147.685928,121.784049,20.000000,0.007850,100.000000,0,89.469985,50000,0,0,33.935085,33.933635,20.000000,0.266386,0.313911,1000000
7,0.385517,Series RL,0.683769,0.000109409235347,,-172.218078,96.642272,20.000000,0.007855,100.000000,0,88.860351,50000,0,0,34.378723,34.371925,20.000000,0.270041,0.683769,1000000
8,0.437599,Series RL,0.333067,0.000108148231634,,174.215209,83.653541,20.000000,0.007854,100.000000,0,89.438346,50000,0,0,33.977401,33.975769,20.000000,0.266844,0.333067,1000000
9,0.491354,Series RL,0.592139,0.000109930528264,,-140.182907,128.834777,20.000000,0.007852,100.000000,0,89.017715,50000,0,0,34.540767,34.535694,20.000000,0.271215,0.592139,1000000
10,0.556192,Series RL,0.670917,0.000109114922843,,152.503356,61.382118,20.000000,0.007851,100.000000,0,88.878746,50000,0,0,34.286029,34.279464,20.000000,0.269192,0.670917,1000000
11,0.633912,Series RL,0.689319,0.00010847197507,,64.146179,-27.012643,20.000000,0.007852,100.000000,0,88.841171,50000,0,0,34.084449,34.077476,20.000000,0.267620,0.689319,1000000
12,0.687223,Series RL,0.535227,0.000109900024628,,-177.143524,91.968345,20.000000,0.007853,100.000000,0,89.111862,50000,0,0,34.530261,34.526111,20.000000,0.271158,0.535227,1000000
13,0.741034,Series RL,0.304925,0.000108075497825,,31.787471,-58.727085,20.000000,0.007851,100.000000,0,89.485450,50000,0,0,33.954288,33.952919,20.000000,0.266592,0.304925,1000000
14,0.794136,Series RL,0.661714,0.000108711207231,,-98.460487,170.429534,20.000000,0.007853,100.000000,0,88.890014,50000,0,0,34.159042,34.152633,20.000000,0.268258,0.661714,1000000
15,0.847390,Series RL,0.328509,0.000108163698311,,-93.007431,176.438659,20.000000,0.007852,100.000000,0,89.446105,50000,0,0,33.982215,33.980628,20.000000,0.266824,0.328509,1000000
16,0.899098,Series RL,0.659896,0.000109986455311,,22.269664,-68.824432,20.000000,0.007851,100.000000,0,88.905899,50000,0,0,34.559566,34.553264,20.000000,0.271336,0.659896,1000000
17,0.952809,Series RL,0.635158,0.000108472363408,,-61.807929,-152.875717,20.000000,0.007855,100.000000,0,88.932212,50000,0,0,34.083518,34.077598,20.000000,0.267731,0.635158,1000000
18,1.005548,Series RL,0.492989,0.000109740519544,,-70.121398,-160.940643,20.000000,0.007849,100.000000,0,89.180755,50000,0,0,34.479526,34.476001,20.000000,0.270637,0.492989,1000000
19,1.061538,Series RL,0.337944,0.000108057573795,,67.666427,-22.903934,20.000000,0.007850,100.000000,0,89.429641,50000,0,0,33.948970,33.947288,20.000000,0.266484,0.337944,1000000
20,1.117016,Series RL,0.370002,0.000108353608356,,-56.163635,-146.786392,20.000000,0.007852,100.000000,0,89.377243,50000,0,0,34.042301,34.040290,20.000000,0.267300,0.370002,1000000
21,1.171487,Series RL,0.679597,0.000109540130738,,-172.534790,96.333839,20.000000,0.007851,100.000000,0,88.868652,50000,0,0,34.419757,34.413047,20.000000,0.270240,0.679597,1000000
22,1.225267,Series RL,0.653690,0.000109975928803,,-102.671974,166.244079,20.000000,0.007853,100.000000,0,88.916084,50000,0,0,34.556140,34.549957,20.000000,0.271377,0.653690,1000000
23,1.279280,Series RL,0.637523,0.000109985191621,,94.863265,3.806236,20.000000,0.007853,100.000000,0,88.942977,50000,0,0,34.558750,34.552867,20.000000,0.271405,0.637523,1000000
24,1.332259,Series RL,0.418780,0.000108852425412,,125.193611,34.491992,20.000000,0.007850,100.000000,0,89.298385,50000,0,0,34.199562,34.196998,20.000000,0.268469,0.418780,1000000
25,1.385165,Series RL,0.545130,0.000109875400175,,38.686645,-52.218124,20.000000,0.007849,100.000000,0,89.095230,50000,0,0,34.522678,34.518375,20.000000,0.270963,0.545130,1000000
26,1.437099,Series RL,0.335395,0.000108252376263,,33.224792,-57.340248,20.000000,0.007850,100.000000,0,89.434959,50000,0,0,34.010143,34.008487,20.000000,0.266995,0.335395,1000000
27,1.488696,Series RL,0.539025,0.000108259977503,,65.064422,-25.843563,20.000000,0.007852,100.000000,0,89.092018,50000,0,0,34.015144,34.010875,20.000000,0.267101,0.539025,1000000
28,1.543363,Series RL,0.435263,0.000109194847272,,-161.734771,107.538299,20.000000,0.007852,100.000000,0,89.273056,50000,0,0,34.307334,34.304573,20.000000,0.269367,0.435263,1000000
29,1.598522,Series RL,0.581006,0.000108278496772,,-25.182779,-116.161300,20.000000,0.007851,100.000000,0,89.021476,50000,0,0,34.021652,34.016693,20.000000,0.267115,0.581006,1000000
30,1.654784,Series RL,0.631629,0.000110020199342,,-157.086425,111.866630,20.000000,0.007853,100.000000,0,88.953079,50000,0,0,34.569637,34.563865,20.000000,0.271479,0.631629,1000000
31,1.710269,Series RL,0.445181,0.000109306217535,,-35.426731,-126.169471,20.000000,0.007851,100.000000,0,89.257255,50000,0,0,34.342449,34.339561,20.000000,0.269629,0.445181,1000000
32,1.764446,Series RL,0.343973,0.000108511413665,,-19.784973,-110.363082,20.000000,0.007849,100.000000,0,89.421890,50000,0,0,34.091602,34.089866,20.000000,0.267597,0.343973,1000000
33,1.818855,Series RL,0.657398,0.00010995117066,,-66.495376,-157.585678,20.000000,0.007856,100.000000,0,88.909683,50000,0,0,34.548431,34.542179,20.000000,0.271421,0.657398,1000000
34,1.871917,Series RL,0.642583,0.00010984510344,,23.412704,-67.654067,20.000000,0.007852,100.000000,0,88.933219,50000,0,0,34.514839,34.508857,20.000000,0.270997,0.642583,1000000
35,1.928095,Series RL,0.346886,0.000108707393879,,-1.247347,-91.829299,20.000000,0.007851,100.000000,0,89.418052,50000,0,0,34.153198,34.151435,20.000000,0.268138,0.346886,1000000
36,1.981915,Series RL,0.423481,0.000109330307227,,-71.350906,-162.057296,20.000000,0.007853,100.000000,0,89.293601,50000,0,0,34.349739,34.347129,20.000000,0.269746,0.423481,1000000
37,2.036057,Series RL,0.384520,0.000108516573468,,88.245597,-2.400624,20.000000,0.007850,100.000000,0,89.353782,50000,0,0,34.093654,34.091487,20.000000,0.267631,0.384520,1000000
38,2.091480,Series RL,0.668074,0.000108744709347,,171.417953,80.297645,20.000000,0.007853,100.000000,0,88.879699,50000,0,0,34.169689,34.163158,20.000000,0.268329,0.668074,1000000
39,2.147147,Series RL,0.528098,0.00010991311353,,-50.863494,-141.739700,20.000000,0.007850,100.000000,0,89.123794,50000,0,0,34.534263,34.530223,20.000000,0.271094,0.528098,1000000
40,2.202079,Series RL,0.646099,0.000109918190573,,-175.344635,93.583480,20.000000,0.007852,100.000000,0,88.928100,50000,0,0,34.537864,34.531818,20.000000,0.271204,0.646099,1000000
41,2.255040,Series RL,0.344942,0.000108120958843,,-3.102621,-93.684448,20.000000,0.007849,100.000000,0,89.418167,50000,0,0,33.968952,33.967201,20.000000,0.266606,0.344942,1000000
42,2.309849,Series RL,0.511850,0.000108228200627,,101.338684,10.476215,20.000000,0.007849,100.000000,0,89.137527,50000,0,0,34.004745,34.000892,20.000000,0.266917,0.511850,1000000
43,2.366383,Series RL,0.367319,0.000108158805888,,-111.210594,158.170043,20.000000,0.007852,100.000000,0,89.380645,50000,0,0,33.981075,33.979091,20.000000,0.266818,0.367319,1000000
44,2.421570,Series RL,0.420402,0.000109525704934,,-160.717758,108.582244,20.000000,0.007851,100.000000,0,89.299995,50000,0,0,34.411083,34.408515,20.000000,0.270175,0.420402,1000000
45,2.475322,Series RL,0.323244,0.000108082952643,,-131.797378,137.657165,20.000000,0.007854,100.000000,0,89.454574,50000,0,0,33.956798,33.955261,20.000000,0.266705,0.323244,1000000
46,2.529373,Series RL,0.316447,0.000108005409171,,84.806571,-5.727770,20.000000,0.007851,100.000000,0,89.465660,50000,0,0,33.932376,33.930900,20.000000,0.266411,0.316447,1000000
47,2.592048,Series RL,0.653134,0.000109750333038,,-47.759956,-138.845184,20.000000,0.007852,100.000000,0,88.914779,50000,0,0,34.485271,34.479084,20.000000,0.270786,0.653134,1000000
48,2.650951,Series RL,0.345330,0.000108081507516,,-4.460925,-95.043617,20.000000,0.007848,100.000000,0,89.417304,50000,0,0,33.956562,33.954807,20.000000,0.266498,0.345330,1000000
49,2.705974,Series RL,0.691546,0.000109581526939,,-118.642013,150.207168,20.000000,0.007853,100.000000,0,88.849205,50000,0,0,34.432998,34.426052,20.000000,0.270394,0.691546,1000000
50,2.759598,Series RL,0.487686,0.000109595357503,,73.520103,-17.291402,20.000000,0.007850,100.000000,0,89.188491,50000,0,0,34.433849,34.430397,20.000000,0.270310,0.487686,1000000
51,2.812317,Series RL,0.366867,0.000108570549275,,178.257171,87.640922,20.000000,0.007851,100.000000,0,89.383750,50000,0,0,34.110416,34.108444,20.000000,0.267817,0.366867,1000000
52,2.864212,Series RL,0.685787,0.000109668963481,,-154.914169,113.945533,20.000000,0.007853,100.000000,0,88.859695,50000,0,0,34.460346,34.453521,20.000000,0.270620,0.685787,1000000
53,2.916958,Series RL,0.466366,0.000109591104883,,-142.221496,127.002433,20.000000,0.007851,100.000000,0,89.223937,50000,0,0,34.432220,34.429061,20.000000,0.270329,0.466366,1000000
54,2.970632,Series RL,0.358204,0.000108109652476,,-77.571594,-168.175842,20.000000,0.007850,100.000000,0,89.395736,50000,0,0,33.965538,33.963649,20.000000,0.266624,0.358204,1000000
55,3.024710,Series RL,0.712271,0.000109647837254,,-10.707267,-101.891822,20.000000,0.007853,100.000000,0,88.815437,50000,0,0,34.454246,34.446884,20.000000,0.270572,0.712271,1000000
56,3.079182,Series RL,0.369737,0.000108321042071,,159.528533,68.906044,20.000000,0.007853,100.000000,0,89.377502,50000,0,0,34.032066,34.030059,20.000000,0.267239,0.369737,1000000
57,3.133618,Series RL,0.469045,0.000109599387306,,163.400009,72.619552,20.000000,0.007853,100.000000,0,89.219535,50000,0,0,34.434856,34.431663,20.000000,0.270428,0.469045,1000000
58,3.188493,Series RL,0.561583,0.000108316636662,,155.022369,64.076889,20.000000,0.007852,100.000000,0,89.054512,50000,0,0,34.033309,34.028675,20.000000,0.267221,0.561583,1000000
59,3.243189,Series RL,0.718267,0.00010914509862,,62.444408,-28.755624,20.000000,0.007852,100.000000,0,88.799964,50000,0,0,34.296466,34.288944,20.000000,0.269286,0.718267,1000000
