index,elapsed_s,model,series_r,series_l,series_c,shunt_range,voltage_pga,impedance_imag_ohm,impedance_real_ohm,phase_diff_deg,shunt_resistance_ohm,current_pga,current_phase_deg,impedance_mag_ohm,samples_per_period,current_amplitude_a,sample_rate_hz,captured_cycles,dds_frequency_hz,voltage_amplitude_v,voltage_phase_deg
1,0.107177,Series RL,0.182905,0.000107803868614,,0,1,40.641101,0.182905,89.742141,100.000000,1,-34.490848,40.641513,16.666666,0.007515,1000000,24.000000,60000,0.305432,-124.748695
2,0.161450,Series RL,0.189718,0.000107892822964,,0,1,40.674636,0.189718,89.732757,100.000000,1,77.204864,40.675079,16.666666,0.007516,1000000,24.000000,60000,0.305704,-13.062384
3,0.216494,Series RL,0.208121,0.000107840328359,,0,1,40.654846,0.208121,89.706695,100.000000,1,-127.893486,40.655380,16.666666,0.007517,1000000,24.000000,60000,0.305597,141.813186
4,0.269263,Series RL,0.189662,0.000107874467094,,0,1,40.667716,0.189662,89.732788,100.000000,1,175.937805,40.668159,16.666666,0.007517,1000000,24.000000,60000,0.305683,85.670585
5,0.321549,Series RL,0.214531,0.000107868883408,,0,1,40.665611,0.214531,89.697738,100.000000,1,150.472671,40.666175,16.666666,0.007516,1000000,24.000000,60000,0.305651,60.170406
6,0.371733,Series RL,0.189087,0.000107908963928,,0,1,40.680721,0.189087,89.733680,100.000000,1,-95.137840,40.681159,16.666666,0.007517,1000000,24.000000,60000,0.305781,174.595825
7,0.423422,Series RL,0.182900,0.000107846580496,,0,1,40.657203,0.182900,89.742248,100.000000,1,132.571807,40.657615,16.666666,0.007516,1000000,24.000000,60000,0.305594,42.314056
8,0.483781,Series RL,0.194759,0.000107913062168,,0,1,40.682266,0.194759,89.725708,100.000000,1,-45.032512,40.682731,16.666666,0.007517,1000000,24.000000,60000,0.305804,-135.306808
9,0.535327,Series RL,0.180751,0.000107888634537,,0,1,40.673057,0.180751,89.745376,100.000000,1,19.896121,40.673458,16.666666,0.007516,1000000,24.000000,60000,0.305685,-70.358497
10,0.586613,Series RL,0.227720,0.000107812805164,,0,1,40.644470,0.227720,89.678993,100.000000,1,-134.670928,40.645107,16.666666,0.007517,1000000,24.000000,60000,0.305520,135.008056
11,0.638463,Series RL,0.211935,0.000107882583996,,0,1,40.670776,0.211935,89.701431,100.000000,1,-40.494560,40.671329,16.666666,0.007516,1000000,24.000000,60000,0.305671,-130.793121
12,0.691198,Series RL,0.202058,0.000107848532796,,0,1,40.657939,0.202058,89.715255,100.000000,1,82.901275,40.658443,16.666666,0.007515,1000000,24.000000,60000,0.305560,-7.383466
13,0.743486,Series RL,0.206509,0.0001078897778,,0,1,40.673488,0.206509,89.709091,100.000000,1,21.450895,40.674011,16.666666,0.007515,1000000,24.000000,60000,0.305677,-68.840003
14,0.795633,Series RL,0.204463,0.000107861474746,,0,1,40.662818,0.204463,89.711898,100.000000,1,165.858215,40.663333,16.666666,0.007517,1000000,24.000000,60000,0.305677,75.570121
15,0.847156,Series RL,0.178200,0.000107873618268,,0,1,40.667396,0.178200,89.748939,100.000000,1,170.062683,40.667785,16.666666,0.007518,1000000,24.000000,60000,0.305745,79.811622
16,0.898392,Series RL,0.191324,0.000107884910311,,0,1,40.671653,0.191324,89.730476,100.000000,1,34.685375,40.672103,16.666666,0.007515,1000000,24.000000,60000,0.305657,-55.584148
17,0.949920,Series RL,0.226380,0.000107855111201,,0,1,40.660419,0.226380,89.680999,100.000000,1,88.118194,40.661048,16.666666,0.007515,1000000,24.000000,60000,0.305554,-2.200804
18,1.001520,Series RL,0.195997,0.000107865978831,,0,1,40.664516,0.195997,89.723838,100.000000,1,69.147735,40.664989,16.666666,0.007516,1000000,24.000000,60000,0.305618,-21.128425
19,1.052982,Series RL,0.208059,0.00010785862322,,0,1,40.661743,0.208059,89.706832,100.000000,1,-7.535632,40.662277,16.666666,0.007517,1000000,24.000000,60000,0.305642,-97.828804
20,1.107874,Series RL,0.218148,0.000107832901128,,0,1,40.652046,0.218148,89.692543,100.000000,1,-105.617897,40.652633,16.666666,0.007515,1000000,24.000000,60000,0.305518,164.074661
21,1.164054,Series RL,0.210205,0.000107875501601,,0,1,40.668106,0.210205,89.703849,100.000000,1,23.186168,40.668651,16.666666,0.007516,1000000,24.000000,60000,0.305676,-67.109977
22,1.217298,Series RL,0.190437,0.000107860352703,,0,1,40.662395,0.190437,89.731658,100.000000,1,-177.320831,40.662841,16.666666,0.007518,1000000,24.000000,60000,0.305713,92.410804
23,1.272381,Series RL,0.204410,0.000107846195871,,0,1,40.657058,0.204410,89.711936,100.000000,1,-172.257415,40.657573,16.666666,0.007517,1000000,24.000000,60000,0.305638,97.454521
24,1.325300,Series RL,0.198760,0.00010787358909,,0,1,40.667385,0.198760,89.719970,100.000000,1,-125.325370,40.667869,16.666666,0.007515,1000000,24.000000,60000,0.305627,144.394592
25,1.376980,Series RL,0.211418,0.000107836057701,,0,1,40.653236,0.211418,89.702033,100.000000,1,24.210300,40.653785,16.666666,0.007517,1000000,24.000000,60000,0.305606,-66.087661
26,1.429173,Series RL,0.194619,0.000107813988216,,0,1,40.644916,0.194619,89.725654,100.000000,1,-140.188125,40.645381,16.666666,0.007518,1000000,24.000000,60000,0.305565,129.537506
27,1.480321,Series RL,0.185432,0.000107858936224,,0,1,40.661861,0.185432,89.738708,100.000000,1,-68.886116,40.662284,16.666666,0.007515,1000000,24.000000,60000,0.305586,-159.147415
28,1.530179,Series RL,0.184201,0.000107864925755,,0,1,40.664119,0.184201,89.740463,100.000000,1,-108.965148,40.664539,16.666666,0.007517,1000000,24.000000,60000,0.305655,160.775314
29,1.581356,Series RL,0.203798,0.000107886984631,,0,1,40.672435,0.203798,89.712913,100.000000,1,-77.663124,40.672946,16.666666,0.007516,1000000,24.000000,60000,0.305688,-167.950225
30,1.660585,Series RL,0.186474,0.000107915086088,,0,1,40.683029,0.186474,89.737380,100.000000,1,-44.556659,40.683456,16.666666,0.007516,1000000,24.000000,60000,0.305767,-134.819274
31,1.712656,Series RL,0.193171,0.000107860676318,,0,1,40.662517,0.193171,89.727813,100.000000,1,26.902723,40.662975,16.666666,0.007515,1000000,24.000000,60000,0.305598,-63.369472
32,1.762436,Series RL,0.185080,0.000107857044933,,0,1,40.661148,0.185080,89.739204,100.000000,1,164.385482,40.661571,16.666666,0.007519,1000000,24.000000,60000,0.305744,74.124694
33,1.811482,Series RL,0.201110,0.000107890982072,,0,1,40.673942,0.201110,89.716697,100.000000,1,-21.433109,40.674438,16.666666,0.007516,1000000,24.000000,60000,0.305709,-111.716400
34,1.864418,Series RL,0.197925,0.00010790468266,,0,1,40.679107,0.197925,89.721229,100.000000,1,91.397590,40.679588,16.666666,0.007516,1000000,24.000000,60000,0.305742,1.118811
35,1.914444,Series RL,0.240078,0.000107828964696,,0,1,40.650562,0.240078,89.661621,100.000000,1,66.900527,40.651271,16.666666,0.007516,1000000,24.000000,60000,0.305555,-23.437847
36,1.963995,Series RL,0.193753,0.000107866090239,,0,1,40.664558,0.193753,89.727005,100.000000,1,-64.033210,40.665019,16.666666,0.007516,1000000,24.000000,60000,0.305639,-154.306213
37,2.012888,Series RL,0.177406,0.000107871342352,,0,1,40.666538,0.177406,89.750045,100.000000,1,156.093154,40.666927,16.666666,0.007517,1000000,24.000000,60000,0.305710,65.843200
38,2.063941,Series RL,0.193865,0.000107866140638,,0,1,40.664577,0.193865,89.726852,100.000000,1,157.494262,40.665039,16.666666,0.007516,1000000,24.000000,60000,0.305626,67.221115
39,2.116016,Series RL,0.206738,0.000107862193596,,0,1,40.663089,0.206738,89.708694,100.000000,1,22.753694,40.663616,16.666666,0.007516,1000000,24.000000,60000,0.305618,-67.537605
40,2.171541,Series RL,0.196000,0.000107848726435,,0,1,40.658012,0.196000,89.723793,100.000000,1,-154.164413,40.658485,16.666666,0.007517,1000000,24.000000,60000,0.305643,115.559356
41,2.224010,Series RL,0.200421,0.000107875055968,,0,1,40.667938,0.200421,89.717628,100.000000,1,-3.438489,40.668434,16.666666,0.007516,1000000,24.000000,60000,0.305645,-93.720855
42,2.276923,Series RL,0.196950,0.000107853978548,,0,1,40.659992,0.196950,89.722473,100.000000,1,-84.956932,40.660469,16.666666,0.007516,1000000,24.000000,60000,0.305584,-175.234466
43,2.328072,Series RL,0.203057,0.000107902820547,,0,1,40.678405,0.203057,89.713989,100.000000,1,-83.036186,40.678913,16.666666,0.007514,1000000,24.000000,60000,0.305676,-173.322189
44,2.378913,Series RL,0.205876,0.000107850142914,,0,1,40.658546,0.205876,89.709877,100.000000,1,133.697433,40.659069,16.666666,0.007517,1000000,24.000000,60000,0.305623,43.407318
45,2.430272,Series RL,0.206353,0.000107869156624,,0,1,40.665714,0.206353,89.709259,100.000000,1,-118.360366,40.666236,16.666666,0.007516,1000000,24.000000,60000,0.305655,151.348907
46,2.481757,Series RL,0.200918,0.00010785846937,,0,1,40.661685,0.200918,89.716880,100.000000,1,136.441085,40.662181,16.666666,0.007516,1000000,24.000000,60000,0.305599,46.157974
