index,elapsed_s,model,series_r,series_l,series_c,impedance_imag_ohm,phase_diff_deg,current_phase_deg,sample_rate_hz,current_amplitude_a,samples_per_period,voltage_pga,impedance_mag_ohm,voltage_amplitude_v,shunt_resistance_ohm,voltage_phase_deg,current_pga,dds_frequency_hz,shunt_range,impedance_real_ohm,captured_cycles
1,0.202428,Series RC,-1.043635,,5.35368701975e-07,-2.972810,-109.344146,-177.450653,1000000,0.009000,10.000000,1,3.150678,0.028357,100.000000,-106.794792,0,100000,0,-1.043635,50.000000
2,0.375856,Series RC,-0.935867,,5.16426972037e-07,-3.081848,-106.891990,25.594417,1000000,0.009025,10.000000,1,3.220812,0.029067,100.000000,98.702438,0,100000,0,-0.935867,50.000000
3,0.549622,Series RC,-0.894741,,5.72190853399e-07,-2.781501,-107.831718,48.573802,1000000,0.009028,10.000000,1,2.921868,0.026380,100.000000,120.742080,0,100000,0,-0.894741,50.000000
4,0.722861,Series RC,-1.071545,,5.20743339557e-07,-3.056303,-109.320755,-36.710758,1000000,0.008997,10.000000,1,3.238703,0.029137,100.000000,33.968486,0,100000,0,-1.071545,50.000000
5,0.895419,Series RC,-0.870440,,5.26655913575e-07,-3.021991,-106.068260,130.707382,1000000,0.009029,10.000000,1,3.144853,0.028396,100.000000,-155.360870,0,100000,0,-0.870440,50.000000
6,1.066676,Series RC,-0.962818,,5.62701303425e-07,-2.828409,-108.799057,-136.336120,1000000,0.009014,10.000000,1,2.987795,0.026931,100.000000,-65.135169,0,100000,0,-0.962818,50.000000
7,1.239061,Series RC,-0.989616,,5.53900686906e-07,-2.873348,-109.004325,-102.029731,1000000,0.009006,10.000000,1,3.038991,0.027370,100.000000,-31.034057,0,100000,0,-0.989616,50.000000
8,1.411299,Series RC,-1.053226,,5.11931486916e-07,-3.108911,-108.715179,175.615310,1000000,0.009003,10.000000,1,3.282470,0.029552,100.000000,-113.099876,0,100000,0,-1.053226,50.000000
9,1.585237,Series RC,-0.871651,,5.59554954366e-07,-2.844313,-107.037887,-126.625968,1000000,0.009045,10.000000,1,2.974877,0.026908,100.000000,-53.663864,0,100000,0,-0.871651,50.000000
10,1.758052,Series RC,-1.047857,,5.11263487001e-07,-3.112973,-108.603729,175.295318,1000000,0.009010,10.000000,1,3.284602,0.029594,100.000000,-113.308433,0,100000,0,-1.047857,50.000000
11,1.928947,Series RC,-0.969005,,5.61401018328e-07,-2.834960,-108.870704,79.251731,1000000,0.009013,10.000000,1,2.995992,0.027002,100.000000,150.381042,0,100000,0,-0.969005,50.000000
12,2.101877,Series RC,-0.887526,,5.69244861368e-07,-2.795896,-107.611457,-165.739410,1000000,0.009034,10.000000,1,2.933383,0.026500,100.000000,-93.350883,0,100000,0,-0.887526,50.000000
13,2.274942,Series RC,-0.919030,,5.70759185089e-07,-2.788478,-108.241241,118.240150,1000000,0.009021,10.000000,1,2.936022,0.026486,100.000000,-170.001098,0,100000,0,-0.919030,50.000000
14,2.447492,Series RC,-0.888811,,5.69530859605e-07,-2.794492,-107.643684,158.129531,1000000,0.009033,10.000000,1,2.932434,0.026489,100.000000,-129.514160,0,100000,0,-0.888811,50.000000
15,2.620260,Series RC,-0.965588,,5.60664332576e-07,-2.838685,-108.785903,151.130081,1000000,0.009016,10.000000,1,2.998415,0.027034,100.000000,-137.655822,0,100000,0,-0.965588,50.000000
16,2.792645,Series RC,-1.067772,,5.17110054081e-07,-3.077777,-109.133163,33.916809,1000000,0.009004,10.000000,1,3.257737,0.029334,100.000000,104.783653,0,100000,0,-1.067772,50.000000
17,2.965422,Series RC,-0.936289,,5.6745617136e-07,-2.804709,-108.460418,-135.018432,1000000,0.009016,10.000000,1,2.956862,0.026660,100.000000,-63.478874,0,100000,0,-0.936289,50.000000
18,3.138512,Series RC,-1.021276,,5.11142309263e-07,-3.113711,-108.159126,-6.413204,1000000,0.009008,10.000000,1,3.276919,0.029520,100.000000,65.427665,0,100000,0,-1.021276,50.000000
19,3.310389,Series RC,-1.032316,,5.40586522718e-07,-2.944116,-109.322563,-68.819587,1000000,0.009004,10.000000,1,3.119855,0.028090,100.000000,1.857843,0,100000,0,-1.032316,50.000000
20,3.484097,Series RC,-0.998440,,5.52628046146e-07,-2.879965,-109.120643,113.516395,1000000,0.009007,10.000000,1,3.048127,0.027453,100.000000,-175.604232,0,100000,0,-0.998440,50.000000
21,3.657048,Series RC,-0.893388,,5.68972167854e-07,-2.797236,-107.712570,-128.443527,1000000,0.009050,10.000000,1,2.936439,0.026575,100.000000,-56.156085,0,100000,0,-0.893388,50.000000
22,3.828889,Series RC,-0.982250,,5.14546663688e-07,-3.093110,-107.617790,27.735527,1000000,0.009017,10.000000,1,3.245326,0.029262,100.000000,100.117736,0,100000,0,-0.982250,50.000000
