index,elapsed_s,model,series_r,series_l,series_c,impedance_imag_ohm,phase_diff_deg,current_phase_deg,sample_rate_hz,current_amplitude_a,samples_per_period,voltage_pga,impedance_mag_ohm,voltage_amplitude_v,shunt_resistance_ohm,voltage_phase_deg,current_pga,dds_frequency_hz,shunt_range,impedance_real_ohm,captured_cycles
1,0.104086,Series RC,1.192107,,4.52324724233e-07,-351.859924,-89.805877,94.227836,25000,0.002228,25.000000,0,351.861938,0.783866,100.000000,-175.578048,1,1000,0,1.192107,20.000000
2,0.191289,Series RC,1.690460,,4.52000241275e-07,-352.112518,-89.724929,111.429573,25000,0.002226,25.000000,0,352.116577,0.783884,100.000000,-158.295349,1,1000,0,1.690460,20.000000
3,0.264555,Series RC,1.432334,,4.52442605449e-07,-351.768249,-89.766700,166.621780,25000,0.002228,25.000000,0,351.771179,0.783895,100.000000,-103.144927,1,1000,0,1.432334,20.000000
4,0.344011,Series RC,1.318112,,4.51662494143e-07,-352.375823,-89.785682,-111.775238,25000,0.002226,25.000000,0,352.378295,0.784394,100.000000,-21.560911,1,1000,0,1.318112,20.000000
5,0.426122,Series RC,1.546420,,4.51478799876e-07,-352.519195,-89.748657,57.049083,25000,0.002226,25.000000,0,352.522583,0.784541,100.000000,147.300430,1,1000,0,1.546420,20.000000
6,0.505502,Series RC,1.542506,,4.52107762315e-07,-352.028778,-89.748939,96.471733,25000,0.002227,25.000000,0,352.032165,0.783855,100.000000,-173.277221,1,1000,0,1.542506,20.000000
7,0.585808,Series RC,1.371831,,4.51844731882e-07,-352.233703,-89.776847,-127.280761,25000,0.002227,25.000000,0,352.236358,0.784392,100.000000,-37.057605,1,1000,0,1.371831,20.000000
8,0.664960,Series RC,1.222930,,4.51753261241e-07,-352.305023,-89.801116,-12.523914,25000,0.002227,25.000000,0,352.307128,0.784431,100.000000,77.674964,1,1000,0,1.222930,20.000000
9,0.745445,Series RC,1.743296,,4.51949084665e-07,-352.152374,-89.716361,40.173282,25000,0.002226,25.000000,0,352.156677,0.784033,100.000000,130.456909,1,1000,0,1.743296,20.000000
10,0.823748,Series RC,1.172444,,4.51787309592e-07,-352.278472,-89.809303,-142.129531,25000,0.002227,25.000000,0,352.280426,0.784451,100.000000,-51.938850,1,1000,0,1.172444,20.000000
