index,elapsed_s,model,series_r,series_l,series_c,current_pga,current_amplitude_a,dds_frequency_hz,samples_per_period,voltage_phase_deg,phase_diff_deg,shunt_range,current_phase_deg,impedance_real_ohm,impedance_imag_ohm,sample_rate_hz,impedance_mag_ohm,voltage_pga,captured_cycles,voltage_amplitude_v,shunt_resistance_ohm
1,0.098247,Series RL,0.328918,0.000108095665939,,0,0.007847,50000,20.000000,84.554527,89.445068,0,175.109466,0.328918,33.959255,1000000,33.960845,0,20.000000,0.266487,100.000000
2,0.152475,Series RL,0.590099,0.000109894135895,,0,0.007846,50000,20.000000,-123.229255,89.020774,0,-32.250038,0.590099,34.524261,1000000,34.529304,0,20.000000,0.270911,100.000000
3,0.204215,Series RL,0.676586,0.000109154339156,,0,0.007849,50000,20.000000,-46.661762,88.869682,0,44.468555,0.676586,34.291847,1000000,34.298522,0,20.000000,0.269222,100.000000
4,0.271228,Series RL,0.678122,0.000109249571108,,0,0.007850,50000,20.000000,169.093841,88.868110,0,-99.774261,0.678122,34.321765,1000000,34.328464,0,20.000000,0.269480,100.000000
5,0.322848,Series RL,0.619926,0.000109941697758,,0,0.007847,50000,20.000000,-105.644378,88.971740,0,-14.616104,0.619926,34.539203,1000000,34.544765,0,20.000000,0.271073,100.000000
6,0.374966,Series RL,0.396551,0.000108771737039,,0,0.007848,50000,20.000000,178.501708,89.335128,0,-90.833404,0.396551,34.171649,1000000,34.173950,0,20.000000,0.268189,100.000000
7,0.430380,Series RL,0.372726,0.000108298518464,,0,0.007850,50000,20.000000,158.924407,89.372337,0,-110.447944,0.372726,34.022983,1000000,34.025024,0,20.000000,0.267083,100.000000
8,0.481937,Series RL,0.517814,0.000109830400706,,0,0.007845,50000,20.000000,-142.180786,89.140213,0,-51.320991,0.517814,34.504238,1000000,34.508125,0,20.000000,0.270710,100.000000
9,0.533726,Series RL,0.722216,0.000109104043011,,0,0.007848,50000,20.000000,-28.506923,88.792922,0,62.700157,0.722216,34.276046,1000000,34.283657,0,20.000000,0.269060,100.000000
10,0.587296,Series RL,0.496199,0.000108176570763,,0,0.007852,50000,20.000000,172.389129,89.163505,0,-96.774375,0.496199,33.984672,1000000,33.988296,0,20.000000,0.266889,100.000000
11,0.643757,Series RL,0.606330,0.000109911063615,,0,0.007848,50000,20.000000,-15.087615,88.994003,0,75.918380,0.606330,34.529579,1000000,34.534904,0,20.000000,0.271047,100.000000
12,0.695239,Series RL,0.696181,0.000109343603031,,0,0.007852,50000,20.000000,42.915084,88.838966,0,134.076110,0.696181,34.351306,1000000,34.358360,0,20.000000,0.269783,100.000000
13,0.746950,Series RL,0.330097,0.000108110795208,,0,0.007849,50000,20.000000,157.181198,89.443153,0,-112.261932,0.330097,33.964008,1000000,33.965614,0,20.000000,0.266583,100.000000
14,0.798824,Series RL,0.405120,0.000109316209282,,0,0.007850,50000,20.000000,144.035263,89.324142,0,-125.288887,0.405120,34.342700,1000000,34.345088,0,20.000000,0.269597,100.000000
15,0.849886,Series RL,0.653929,0.000109938651532,,0,0.007849,50000,20.000000,147.364151,88.915321,0,-121.551193,0.653929,34.538246,1000000,34.544437,0,20.000000,0.271155,100.000000
16,0.927566,Series RL,0.479898,0.000108246134206,,0,0.007850,50000,20.000000,-151.354263,89.191497,0,-60.545768,0.479898,34.006526,1000000,34.009914,0,20.000000,0.266981,100.000000
17,0.978946,Series RL,0.656443,0.000108566977839,,0,0.007852,50000,20.000000,98.599945,88.897399,0,-170.297439,0.656443,34.107322,1000000,34.113639,0,20.000000,0.267857,100.000000
18,1.030730,Series RL,0.327687,0.000108135760253,,0,0.007850,50000,20.000000,-147.800582,89.447349,0,-57.247940,0.327687,33.971851,1000000,33.973430,0,20.000000,0.266684,100.000000
19,1.083443,Series RL,0.693324,0.000108702889794,,0,0.007849,50000,20.000000,44.175701,88.836921,0,135.338775,0.693324,34.150020,1000000,34.157058,0,20.000000,0.268115,100.000000
20,1.146651,Series RL,0.703815,0.000109471926479,,0,0.007851,50000,20.000000,-65.406204,88.827621,0,25.766176,0.703815,34.391620,1000000,34.398822,0,20.000000,0.270056,100.000000
21,1.201156,Series RL,0.331244,0.000108062030134,,0,0.007848,50000,20.000000,102.679695,89.440963,0,-166.761276,0.331244,33.948688,1000000,33.950305,0,20.000000,0.266452,100.000000
22,1.254049,Series RL,0.408983,0.000108129349492,,0,0.007852,50000,20.000000,137.158065,89.310218,0,-132.152145,0.408983,33.969837,1000000,33.972297,0,20.000000,0.266736,100.000000
23,1.307105,Series RL,0.682491,0.000109324650861,,0,0.007852,50000,20.000000,-65.040359,88.861602,0,26.098041,0.682491,34.345352,1000000,34.352134,0,20.000000,0.269731,100.000000
24,1.359013,Series RL,0.381536,0.000108842239496,,0,0.007847,50000,20.000000,-127.362838,89.360717,0,-36.723552,0.381536,34.193798,1000000,34.195926,0,20.000000,0.268345,100.000000
25,1.410858,Series RL,0.323518,0.000107969077281,,0,0.007849,50000,20.000000,174.157913,89.453536,0,-95.295600,0.323518,33.919486,1000000,33.921028,0,20.000000,0.266254,100.000000
26,1.462991,Series RL,0.300983,0.000108055266049,,0,0.007849,50000,20.000000,156.835998,89.492004,0,-112.656013,0.300983,33.946563,1000000,33.947898,0,20.000000,0.266442,100.000000
27,1.518786,Series RL,0.621016,0.000109942073364,,0,0.007849,50000,20.000000,-32.427528,88.969932,0,58.602535,0.621016,34.539321,1000000,34.544902,0,20.000000,0.271158,100.000000
28,1.576399,Series RL,0.463889,0.000108174969664,,0,0.007852,50000,20.000000,-79.275131,89.217948,0,11.506916,0.463889,33.984169,1000000,33.987335,0,20.000000,0.266859,100.000000
29,1.630405,Series RL,0.602707,0.000109899015585,,0,0.007847,50000,20.000000,110.414970,88.999900,0,-158.584930,0.602707,34.525794,1000000,34.531055,0,20.000000,0.270970,100.000000
