index,elapsed_s,model,series_r,series_l,series_c,current_pga,impedance_mag_ohm,voltage_phase_deg,impedance_real_ohm,sample_rate_hz,voltage_amplitude_v,current_amplitude_a,dds_frequency_hz,current_phase_deg,voltage_pga,shunt_resistance_ohm,samples_per_period,captured_cycles,phase_diff_deg,impedance_imag_ohm,shunt_range
1,0.115065,Series RC,-0.064535,,4.52129374901e-07,1,1173.373168,-12.638584,-0.064535,7500,0.604632,0.000515,300,-102.635437,1,1000.000000,25.000000,16.000000,-90.003150,-1173.373168,1
2,0.209597,Series RC,0.656666,,4.52132855563e-07,1,1173.364257,24.041660,0.656666,7500,0.604628,0.000515,300,-65.990409,1,1000.000000,25.000000,16.000000,-89.967933,-1173.364135,1
3,0.302992,Series RC,0.176641,,4.52058689705e-07,1,1173.556640,153.276947,0.176641,7500,0.604733,0.000515,300,63.268299,1,1000.000000,25.000000,16.000000,-89.991371,-1173.556640,1
4,0.398943,Series RC,0.475196,,4.52314398618e-07,1,1172.893310,158.363647,0.475196,7500,0.604631,0.000516,300,68.340454,1,1000.000000,25.000000,16.000000,-89.976783,-1172.893188,1
5,0.492921,Series RC,1.015540,,4.52029537807e-07,1,1173.632812,88.847862,1.015540,7500,0.604788,0.000515,300,-1.201722,1,1000.000000,25.000000,16.000000,-89.950416,-1173.632324,1
6,0.614447,Series RC,0.022186,,4.52184414409e-07,1,1173.230346,153.677230,0.022186,7500,0.604461,0.000515,300,63.676143,1,1000.000000,25.000000,16.000000,-89.998908,-1173.230346,1
7,0.709189,Series RC,0.604266,,4.51988167548e-07,1,1173.739868,-35.497318,0.604266,7500,0.604570,0.000515,300,-125.526809,1,1000.000000,25.000000,16.000000,-89.970497,-1173.739746,1
8,0.803120,Series RC,1.074252,,4.52050555114e-07,1,1173.578247,107.624786,1.074252,7500,0.604500,0.000515,300,17.572341,1,1000.000000,25.000000,16.000000,-89.947555,-1173.577758,1
9,0.898025,Series RC,0.579554,,4.52055210184e-07,1,1173.565795,171.070205,0.579554,7500,0.604798,0.000515,300,81.041908,1,1000.000000,25.000000,16.000000,-89.971702,-1173.565673,1
10,0.992726,Series RC,0.193404,,4.52116251901e-07,1,1173.407226,-18.120231,0.193404,7500,0.604537,0.000515,300,-108.129661,1,1000.000000,25.000000,16.000000,-89.990554,-1173.407226,1
11,1.086440,Series RC,1.901605,,4.51989813017e-07,1,1173.737060,133.389953,1.901605,7500,0.604663,0.000515,300,43.297134,1,1000.000000,25.000000,16.000000,-89.907173,-1173.735473,1
12,1.182229,Series RC,1.105475,,4.52326356084e-07,1,1172.862792,166.516342,1.105475,7500,0.604441,0.000515,300,76.462341,1,1000.000000,25.000000,16.000000,-89.945991,-1172.862182,1
13,1.279914,Series RC,1.623597,,4.52102988651e-07,1,1173.442749,76.196075,1.623597,7500,0.604528,0.000515,300,-13.883220,1,1000.000000,25.000000,16.000000,-89.920722,-1173.441650,1
14,1.374732,Series RC,0.222216,,4.52123965395e-07,1,1173.387207,-173.555786,0.222216,7500,0.604603,0.000515,300,96.433357,1,1000.000000,25.000000,16.000000,-89.989151,-1173.387207,1
15,1.470270,Series RC,1.776074,,4.52031136588e-07,1,1173.629516,-11.006575,1.776074,7500,0.604607,0.000515,300,-101.093284,1,1000.000000,25.000000,16.000000,-89.913291,-1173.628173,1
16,1.563390,Series RC,1.446918,,4.52147719786e-07,1,1173.326416,-138.938537,1.446918,7500,0.604639,0.000515,300,130.990814,1,1000.000000,25.000000,16.000000,-89.929336,-1173.325561,1
17,1.657312,Series RC,0.213768,,4.52241161652e-07,1,1173.083129,-163.694992,0.213768,7500,0.604476,0.000515,300,106.294563,1,1000.000000,25.000000,16.000000,-89.989555,-1173.083129,1
18,1.751091,Series RC,0.299933,,4.52207421967e-07,1,1173.170654,-101.660369,0.299933,7500,0.604542,0.000515,300,168.324981,1,1000.000000,25.000000,16.000000,-89.985351,-1173.170654,1
19,1.844233,Series RC,2.060031,,4.52104916983e-07,1,1173.438476,-54.464134,2.060031,7500,0.604621,0.000515,300,-144.564727,1,1000.000000,25.000000,16.000000,-89.899414,-1173.436645,1
20,1.939088,Series RC,0.480801,,4.5230347756e-07,1,1172.921630,-75.036247,0.480801,7500,0.604598,0.000515,300,-165.059738,1,1000.000000,25.000000,16.000000,-89.976509,-1172.921508,1
21,2.032871,Series RC,1.642861,,4.5203701339e-07,1,1173.614135,90.723510,1.642861,7500,0.604552,0.000515,300,0.643317,1,1000.000000,25.000000,16.000000,-89.919792,-1173.612915,1
22,2.126644,Series RC,0.136303,,4.52215091931e-07,1,1173.150756,139.787033,0.136303,7500,0.604575,0.000515,300,49.780353,1,1000.000000,25.000000,16.000000,-89.993339,-1173.150756,1
23,2.222438,Series RC,0.039822,,4.52033299255e-07,1,1173.622558,-176.228561,0.039822,7500,0.604552,0.000515,300,93.769500,1,1000.000000,25.000000,16.000000,-89.998054,-1173.622558,1
24,2.318601,Series RC,2.409682,,4.52221350132e-07,1,1173.136962,90.281387,2.409682,7500,0.604543,0.000515,300,0.163684,1,1000.000000,25.000000,16.000000,-89.882301,-1173.134521,1
25,2.413380,Series RC,0.833993,,4.52152047372e-07,1,1173.314697,36.674373,0.833993,7500,0.604578,0.000515,300,-53.366352,1,1000.000000,25.000000,16.000000,-89.959266,-1173.314331,1
26,2.507725,Series RC,0.686453,,4.51860860822e-07,1,1174.070678,-165.543563,0.686453,7500,0.604640,0.000515,300,104.422943,1,1000.000000,25.000000,16.000000,-89.966499,-1174.070434,1
27,2.601244,Series RC,0.882323,,4.52328945422e-07,1,1172.855834,-56.803947,0.882323,7500,0.604617,0.000516,300,-146.847061,1,1000.000000,25.000000,16.000000,-89.956901,-1172.855468,1
28,2.694505,Series RC,1.594889,,4.51992962663e-07,1,1173.728393,-40.423427,1.594889,7500,0.604593,0.000515,300,-130.501281,1,1000.000000,25.000000,16.000000,-89.922142,-1173.727294,1
29,2.789326,Series RC,-0.369342,,4.52281919274e-07,1,1172.977416,-48.687530,-0.369342,7500,0.604446,0.000515,300,-138.669494,1,1000.000000,25.000000,16.000000,-90.018035,-1172.977416,1
30,2.883022,Series RC,-0.063973,,4.52141980756e-07,1,1173.340454,113.476364,-0.063973,7500,0.604648,0.000515,300,23.479484,1,1000.000000,25.000000,16.000000,-90.003120,-1173.340454,1
31,2.976611,Series RC,0.529398,,4.51877774432e-07,1,1174.026611,150.648284,0.529398,7500,0.604602,0.000515,300,60.622440,1,1000.000000,25.000000,16.000000,-89.974159,-1174.026489,1
32,3.071968,Series RC,1.942009,,4.51964994393e-07,1,1173.801513,176.736434,1.942009,7500,0.604617,0.000515,300,86.641632,1,1000.000000,25.000000,16.000000,-89.905197,-1173.799926,1
33,3.165868,Series RC,0.386509,,4.52035039033e-07,1,1173.618041,38.463695,0.386509,7500,0.604456,0.000515,300,-51.555175,1,1000.000000,25.000000,16.000000,-89.981124,-1173.618041,1
34,3.261479,Series RC,1.110567,,4.5207458378e-07,1,1173.515869,100.091651,1.110567,7500,0.604520,0.000515,300,10.037431,1,1000.000000,25.000000,16.000000,-89.945777,-1173.515380,1
35,3.359987,Series RC,0.425012,,4.52154070152e-07,1,1173.309204,-15.935407,0.425012,7500,0.604580,0.000515,300,-105.956169,1,1000.000000,25.000000,16.000000,-89.979240,-1173.309082,1
36,3.456357,Series RC,0.580016,,4.51913015538e-07,1,1173.935058,-165.154159,0.580016,7500,0.604557,0.000515,300,104.817543,1,1000.000000,25.000000,16.000000,-89.971694,-1173.934936,1
37,3.551798,Series RC,0.409933,,4.5212354232e-07,1,1173.388305,150.554306,0.409933,7500,0.604417,0.000515,300,60.534275,1,1000.000000,25.000000,16.000000,-89.979980,-1173.388305,1
38,3.645599,Series RC,1.661657,,4.51947651122e-07,1,1173.846191,19.163063,1.661657,7500,0.604596,0.000515,300,-70.918037,1,1000.000000,25.000000,16.000000,-89.918884,-1173.844970,1
39,3.739071,Series RC,0.286835,,4.52131491498e-07,1,1173.367797,67.191528,0.286835,7500,0.604528,0.000515,300,-22.822477,1,1000.000000,25.000000,16.000000,-89.985992,-1173.367675,1
40,3.834641,Series RC,0.532538,,4.52063579922e-07,1,1173.544067,79.221557,0.532538,7500,0.604514,0.000515,300,-10.804431,1,1000.000000,25.000000,16.000000,-89.973999,-1173.543945,1
41,3.928210,Series RC,0.346803,,4.52000343071e-07,1,1173.708129,-28.929525,0.346803,7500,0.604557,0.000515,300,-118.946456,1,1000.000000,25.000000,16.000000,-89.983070,-1173.708129,1
42,4.023802,Series RC,0.341740,,4.52034803698e-07,1,1173.618652,-14.571922,0.341740,7500,0.604474,0.000515,300,-104.588600,1,1000.000000,25.000000,16.000000,-89.983314,-1173.618652,1
