index,elapsed_s,model,series_r,series_l,series_c,voltage_phase_deg,impedance_mag_ohm,current_phase_deg,sample_rate_hz,shunt_resistance_ohm,shunt_range,captured_cycles,voltage_amplitude_v,phase_diff_deg,current_pga,voltage_pga,samples_per_period,impedance_real_ohm,impedance_imag_ohm,current_amplitude_a,dds_frequency_hz
1,0.051734,Series RL,0.323069,0.00011062462207,,17.317382,6.958254,109.978561,250000,100.000000,0,20.000000,0.107902,87.338821,0,1,25.000000,0.323069,6.950750,0.015507,10000
2,0.110295,Series RL,0.312022,0.000110128552027,,72.166450,6.926612,164.748321,250000,100.000000,0,20.000000,0.107432,87.418121,0,1,25.000000,0.312022,6.919581,0.015510,10000
3,0.163998,Series RL,0.312028,0.000110434606983,,-27.499414,6.945824,65.075363,250000,100.000000,0,20.000000,0.107724,87.425224,0,1,25.000000,0.312028,6.938811,0.015509,10000
4,0.220271,Series RL,0.296576,0.000110998397453,,-45.264305,6.980538,47.170711,250000,100.000000,0,20.000000,0.108261,87.564987,0,1,25.000000,0.296576,6.974235,0.015509,10000
5,0.278372,Series RL,0.283347,0.00011084037251,,-161.257263,6.970068,-68.927429,250000,100.000000,0,20.000000,0.108143,87.670166,0,1,25.000000,0.283347,6.964306,0.015515,10000
6,0.335384,Series RL,0.257420,0.000110711600246,,-133.655380,6.960977,-41.536071,250000,100.000000,0,20.000000,0.107995,87.880699,0,1,25.000000,0.257420,6.956215,0.015514,10000
7,0.391886,Series RL,0.284735,0.000111096134504,,-88.330551,6.986181,4.005295,250000,100.000000,0,20.000000,0.108371,87.664154,0,1,25.000000,0.284735,6.980376,0.015512,10000
8,0.450212,Series RL,0.302326,0.000110521744314,,-72.663589,6.950864,19.829269,250000,100.000000,0,20.000000,0.107836,87.507141,0,1,25.000000,0.302326,6.944286,0.015514,10000
9,0.508462,Series RL,0.311423,0.000110321957114,,37.642688,6.938724,130.215087,250000,100.000000,0,20.000000,0.107624,87.427597,0,1,25.000000,0.311423,6.931733,0.015511,10000
10,0.569080,Series RL,0.315672,0.000110612048829,,-153.358367,6.957125,-60.757743,250000,100.000000,0,20.000000,0.107941,87.399375,0,1,25.000000,0.315672,6.949960,0.015515,10000
