index,elapsed_s,model,series_r,series_l,series_c,current_pga,voltage_phase_deg,impedance_imag_ohm,dds_frequency_hz,voltage_pga,captured_cycles,voltage_amplitude_v,sample_rate_hz,shunt_range,impedance_real_ohm,shunt_resistance_ohm,current_phase_deg,current_amplitude_a,samples_per_period,phase_diff_deg,impedance_mag_ohm
1,0.106889,Series RL,0.570601,0.000110006601144,,0,-87.023170,34.559593,50000,0,20.000000,0.271372,1000000,0,0.570601,100.000000,3.922743,0.007851,20.000000,89.054092,34.564304
2,0.219959,Series RL,0.713546,0.000108839712115,,0,-63.825656,34.193004,50000,0,20.000000,0.268599,1000000,0,0.713546,100.000000,27.369832,0.007854,20.000000,88.804512,34.200450
3,0.332345,Series RL,0.308745,0.000108083595628,,0,13.380152,33.955463,50000,0,20.000000,0.266520,1000000,0,0.308745,100.000000,103.901115,0.007849,20.000000,89.479042,33.956867
4,0.446536,Series RL,0.395197,0.000109270359926,,0,71.788177,34.328296,50000,0,20.000000,0.269598,1000000,0,0.395197,100.000000,162.447753,0.007853,20.000000,89.340423,34.330570
5,0.561568,Series RL,0.371274,0.000108312641873,,0,-111.087928,34.027420,50000,0,20.000000,0.267244,1000000,0,0.371274,100.000000,-20.462799,0.007853,20.000000,89.374862,34.029445
6,0.675661,Series RL,0.320564,0.000108104919208,,0,-77.118072,33.962162,50000,0,20.000000,0.266678,1000000,0,0.320564,100.000000,13.422721,0.007852,20.000000,89.459213,33.963676
7,0.787949,Series RL,0.466664,0.000109325402072,,0,17.722324,34.345588,50000,0,20.000000,0.269664,1000000,0,0.466664,100.000000,108.500770,0.007851,20.000000,89.221542,34.348758
8,0.901122,Series RL,0.407362,0.00010910523349,,0,-162.746704,34.276420,50000,0,20.000000,0.269214,1000000,0,0.407362,100.000000,-72.065803,0.007854,20.000000,89.319091,34.278839
9,1.015624,Series RL,0.654998,0.000109988046861,,0,-157.967895,34.553764,50000,0,20.000000,0.271389,1000000,0,0.654998,100.000000,-66.881935,0.007853,20.000000,88.914039,34.559974
10,1.133226,Series RL,0.324362,0.000107995719818,,0,-23.227586,33.927856,50000,0,20.000000,0.266328,1000000,0,0.324362,100.000000,67.320167,0.007849,20.000000,89.452247,33.929409
11,1.247157,Series RL,0.659689,0.0001099266417,,0,-103.153121,34.534473,50000,0,20.000000,0.271232,1000000,0,0.659689,100.000000,-12.058767,0.007853,20.000000,88.905647,34.540775
12,1.361884,Series RL,0.433187,0.000108177786707,,0,154.826721,33.985054,50000,0,20.000000,0.266907,1000000,0,0.433187,100.000000,-114.443008,0.007853,20.000000,89.269729,33.987815
13,1.478119,Series RL,0.485476,0.000109563516965,,0,-53.168613,34.420394,50000,0,20.000000,0.270185,1000000,0,0.485476,100.000000,37.639450,0.007849,20.000000,89.191940,34.423816
14,1.593401,Series RL,0.290512,0.000108062138359,,0,121.170501,33.948722,50000,0,20.000000,0.266608,1000000,0,0.290512,100.000000,-148.339218,0.007853,20.000000,89.509712,33.949966
15,1.708566,Series RL,0.546552,0.000109980264184,,0,-141.669403,34.551319,50000,0,20.000000,0.271201,1000000,0,0.546552,100.000000,-50.763134,0.007848,20.000000,89.093734,34.555641
16,1.820909,Series RL,0.702897,0.00010985270468,,0,40.991168,34.511245,50000,0,20.000000,0.270995,1000000,0,0.702897,100.000000,132.157974,0.007851,20.000000,88.833206,34.518402
17,1.934215,Series RL,0.680780,0.000109413631206,,0,114.680976,34.373306,50000,0,20.000000,0.270005,1000000,0,0.680780,100.000000,-154.184371,0.007854,20.000000,88.865379,34.380046
18,2.046619,Series RL,0.681035,0.000109470519549,,0,96.767097,34.391178,50000,0,20.000000,0.270189,1000000,0,0.681035,100.000000,-172.098434,0.007855,20.000000,88.865531,34.397922
19,2.161103,Series RL,0.698412,0.000109531437695,,0,-83.647247,34.410316,50000,0,20.000000,0.270290,1000000,0,0.698412,100.000000,7.515503,0.007853,20.000000,88.837249,34.417404
20,2.285160,Series RL,0.529457,0.000109885064063,,0,74.124740,34.521411,50000,0,20.000000,0.271000,1000000,0,0.529457,100.000000,165.003417,0.007849,20.000000,89.121315,34.525470
21,2.401388,Series RL,0.638700,0.00010857085167,,0,-170.941619,34.108539,50000,0,20.000000,0.267944,1000000,0,0.638700,100.000000,-79.868843,0.007854,20.000000,88.927230,34.114521
22,2.515642,Series RL,0.451321,0.000109465697154,,0,-107.917572,34.389663,50000,0,20.000000,0.269962,1000000,0,0.451321,100.000000,-17.165678,0.007849,20.000000,89.248100,34.392623
23,2.631139,Series RL,0.586424,0.000108358453032,,0,-80.270561,34.041812,50000,0,20.000000,0.267380,1000000,0,0.586424,100.000000,10.716358,0.007853,20.000000,89.013084,34.046863
24,2.750895,Series RL,0.688409,0.000109419615432,,0,78.604522,34.375186,50000,0,20.000000,0.269991,1000000,0,0.688409,100.000000,169.751800,0.007853,20.000000,88.852722,34.382080
25,2.862978,Series RL,0.403196,0.000109119099069,,0,35.303050,34.280776,50000,0,20.000000,0.269024,1000000,0,0.403196,100.000000,125.976905,0.007847,20.000000,89.326133,34.283149
26,2.976760,Series RL,0.309109,0.000108186842623,,0,-22.033679,33.987899,50000,0,20.000000,0.266738,1000000,0,0.309109,100.000000,68.487396,0.007848,20.000000,89.478927,33.989307
27,3.112012,Series RL,0.458766,0.000109664373453,,0,18.871137,34.452079,50000,0,20.000000,0.270371,1000000,0,0.458766,100.000000,109.634048,0.007847,20.000000,89.237091,34.455135
28,3.225927,Series RL,0.506763,0.000109823977213,,0,-70.641937,34.502220,50000,0,20.000000,0.270785,1000000,0,0.506763,100.000000,20.199554,0.007848,20.000000,89.158508,34.505943
29,3.340360,Series RL,0.518148,0.000108178684341,,0,46.536228,33.985336,50000,0,20.000000,0.266952,1000000,0,0.518148,100.000000,137.409698,0.007854,20.000000,89.126525,33.989284
30,3.453961,Series RL,0.667101,0.000108672484833,,0,62.576202,34.140468,50000,0,20.000000,0.268224,1000000,0,0.667101,100.000000,153.695617,0.007855,20.000000,88.880584,34.146987
31,3.571739,Series RL,0.608451,0.000109958030238,,0,-176.448852,34.544334,50000,0,20.000000,0.271278,1000000,0,0.608451,100.000000,-85.439781,0.007852,20.000000,88.990913,34.549694
32,3.687714,Series RL,0.685808,0.000109279444491,,0,-154.676513,34.331150,50000,0,20.000000,0.269642,1000000,0,0.685808,100.000000,-63.532108,0.007853,20.000000,88.855598,34.337997
33,3.800184,Series RL,0.672108,0.000109649416071,,0,41.813327,34.447380,50000,0,20.000000,0.270558,1000000,0,0.672108,100.000000,132.931091,0.007853,20.000000,88.882232,34.453937
34,3.920528,Series RL,0.400547,0.000108943350631,,0,-109.278762,34.225563,50000,0,20.000000,0.268691,1000000,0,0.400547,100.000000,-18.608249,0.007850,20.000000,89.329490,34.227905
35,4.035344,Series RL,0.358647,0.000108059104866,,0,-168.413604,33.947769,50000,0,20.000000,0.266598,1000000,0,0.358647,100.000000,-77.808319,0.007853,20.000000,89.394706,33.949665
36,4.149213,Series RL,0.694865,0.000109573960713,,0,42.269104,34.423675,50000,0,20.000000,0.270314,1000000,0,0.694865,100.000000,133.425506,0.007851,20.000000,88.843597,34.430686
37,4.261755,Series RL,0.560593,0.000109889800514,,0,-52.106689,34.522899,50000,0,20.000000,0.270976,1000000,0,0.560593,100.000000,38.823619,0.007848,20.000000,89.069694,34.527450
38,4.374018,Series RL,0.366213,0.000108602011025,,0,-20.297534,34.118328,50000,0,20.000000,0.267956,1000000,0,0.366213,100.000000,70.317436,0.007853,20.000000,89.385032,34.120292
39,4.488216,Series RL,0.370989,0.000108245978234,,0,105.097969,34.006477,50000,0,20.000000,0.267061,1000000,0,0.370989,100.000000,-164.277023,0.007853,20.000000,89.374961,34.008499
