index,elapsed_s,model,series_r,series_l,series_c,impedance_imag_ohm,phase_diff_deg,current_phase_deg,sample_rate_hz,current_amplitude_a,samples_per_period,voltage_pga,impedance_mag_ohm,voltage_amplitude_v,shunt_resistance_ohm,voltage_phase_deg,current_pga,dds_frequency_hz,shunt_range,impedance_real_ohm,captured_cycles
1,0.060540,Series RL,0.311812,0.00011061289235,,6.950013,87.431152,-148.160964,250000,0.013031,25.000000,1,6.957004,0.090657,100.000000,119.270149,0,10000,0,0.311812,20.000000
2,0.128757,Series RL,0.303694,0.000110244942037,,6.926894,87.489601,106.993896,250000,0.013028,25.000000,1,6.933548,0.090330,100.000000,14.483497,0,10000,0,0.303694,20.000000
3,0.202213,Series RL,0.291406,0.000110822897298,,6.963208,87.603599,-26.489269,250000,0.013032,25.000000,1,6.969303,0.090822,100.000000,-118.885665,0,10000,0,0.291406,20.000000
4,0.258287,Series RL,0.283914,0.000110549930655,,6.946057,87.659378,-113.221313,250000,0.013035,25.000000,1,6.951857,0.090615,100.000000,154.438095,0,10000,0,0.283914,20.000000
5,0.313025,Series RL,0.326651,0.000110181184567,,6.922888,87.298545,170.697433,250000,0.013032,25.000000,1,6.930591,0.090322,100.000000,77.995979,0,10000,0,0.326651,20.000000
6,0.367994,Series RL,0.302585,0.000111134236197,,6.982770,87.518753,23.901445,250000,0.013030,25.000000,1,6.989323,0.091074,100.000000,-68.579803,0,10000,0,0.302585,20.000000
7,0.422465,Series RL,0.315811,0.000110825157298,,6.963350,87.403221,-177.084167,250000,0.013033,25.000000,1,6.970508,0.090845,100.000000,90.319046,0,10000,0,0.315811,20.000000
8,0.477225,Series RL,0.333137,0.000110318025987,,6.931486,87.248397,56.795490,250000,0.013032,25.000000,1,6.939487,0.090438,100.000000,-35.956111,0,10000,0,0.333137,20.000000
9,0.531771,Series RL,0.292173,0.000110966916606,,6.972257,87.600418,47.262916,250000,0.013029,25.000000,1,6.978376,0.090918,100.000000,-45.136665,0,10000,0,0.292173,20.000000
10,0.587563,Series RL,0.325010,0.000110667371087,,6.953436,87.323890,-148.080520,250000,0.013033,25.000000,1,6.961027,0.090722,100.000000,119.243377,0,10000,0,0.325010,20.000000
11,0.642150,Series RL,0.312060,0.000111047146613,,6.977298,87.439155,38.677532,250000,0.013029,25.000000,1,6.984273,0.090999,100.000000,-53.883327,0,10000,0,0.312060,20.000000
12,0.720334,Series RL,0.333902,0.000110714990246,,6.956428,87.251960,97.582252,250000,0.013030,25.000000,1,6.964437,0.090744,100.000000,4.834212,0,10000,0,0.333902,20.000000
13,0.777464,Series RL,0.289936,0.000110260937109,,6.927899,87.603538,-122.820693,250000,0.013035,25.000000,1,6.933963,0.090382,100.000000,144.782836,0,10000,0,0.289936,20.000000
14,0.847849,Series RL,0.337423,0.000110472072057,,6.941165,87.216934,84.612976,250000,0.013030,25.000000,1,6.949362,0.090547,100.000000,-8.170082,0,10000,0,0.337423,20.000000
15,0.917869,Series RL,0.280528,0.000110823884058,,6.963270,87.692985,-67.151107,250000,0.013032,25.000000,1,6.968919,0.090822,100.000000,-159.458129,0,10000,0,0.280528,20.000000
16,0.979016,Series RL,0.312299,0.000110582987136,,6.948134,87.426445,102.924461,250000,0.013030,25.000000,1,6.955149,0.090628,100.000000,10.350914,0,10000,0,0.312299,20.000000
17,1.046455,Series RL,0.313858,0.000110293547957,,6.929948,87.406837,-59.186725,250000,0.013035,25.000000,1,6.937052,0.090424,100.000000,-151.779891,0,10000,0,0.313858,20.000000
18,1.118205,Series RL,0.298010,0.000110704724752,,6.955783,87.546745,-50.080307,250000,0.013033,25.000000,1,6.962164,0.090738,100.000000,-142.533554,0,10000,0,0.298010,20.000000
19,1.174043,Series RL,0.312076,0.00011068516461,,6.954554,87.430656,-148.417266,250000,0.013031,25.000000,1,6.961552,0.090718,100.000000,119.013351,0,10000,0,0.312076,20.000000
20,1.228640,Series RL,0.287219,0.000110793931098,,6.961388,87.637382,-12.221674,250000,0.013037,25.000000,1,6.967311,0.090829,100.000000,-104.584297,0,10000,0,0.287219,20.000000
21,1.283939,Series RL,0.304790,0.000110462443183,,6.940560,87.485511,58.404453,250000,0.013030,25.000000,1,6.947249,0.090521,100.000000,-34.110038,0,10000,0,0.304790,20.000000
22,1.338518,Series RL,0.327436,0.000110941228998,,6.970643,87.310585,11.122185,250000,0.013031,25.000000,1,6.978330,0.090934,100.000000,-81.567230,0,10000,0,0.327436,20.000000
23,1.393053,Series RL,0.306477,0.000110850622089,,6.964950,87.480445,-20.615026,250000,0.013031,25.000000,1,6.971690,0.090849,100.000000,-113.134574,0,10000,0,0.306477,20.000000
24,1.447989,Series RL,0.291892,0.000110379252894,,6.935333,87.589973,178.313003,250000,0.013034,25.000000,1,6.941473,0.090476,100.000000,85.902976,0,10000,0,0.291892,20.000000
25,1.502571,Series RL,0.284426,0.000110741553206,,6.958097,87.659217,-37.720497,250000,0.013034,25.000000,1,6.963908,0.090768,100.000000,-130.061279,0,10000,0,0.284426,20.000000
26,1.557093,Series RL,0.316759,0.00011062850545,,6.950994,87.390815,95.158111,250000,0.013027,25.000000,1,6.958209,0.090641,100.000000,2.548925,0,10000,0,0.316759,20.000000
27,1.611609,Series RL,0.305265,0.00011070353109,,6.955708,87.487075,133.074752,250000,0.013031,25.000000,1,6.962403,0.090725,100.000000,40.561828,0,10000,0,0.305265,20.000000
28,1.666235,Series RL,0.302762,0.000110691817287,,6.954972,87.507392,20.904712,250000,0.013027,25.000000,1,6.961559,0.090690,100.000000,-71.587890,0,10000,0,0.302762,20.000000
29,1.720693,Series RL,0.317067,0.000111103964927,,6.980868,87.399444,9.759057,250000,0.013027,25.000000,1,6.988065,0.091030,100.000000,-82.841499,0,10000,0,0.317067,20.000000
30,1.799953,Series RL,0.307542,0.000110324503593,,6.931893,87.459663,149.716125,250000,0.013034,25.000000,1,6.938712,0.090441,100.000000,57.175788,0,10000,0,0.307542,20.000000
31,1.859005,Series RL,0.313959,0.000111169186623,,6.984966,87.426406,9.525075,250000,0.013030,25.000000,1,6.992018,0.091108,100.000000,-83.048515,0,10000,0,0.313959,20.000000
32,1.939028,Series RL,0.318833,0.000110587873193,,6.948441,87.372787,-132.729705,250000,0.013035,25.000000,1,6.955752,0.090670,100.000000,134.643081,0,10000,0,0.318833,20.000000
33,1.998958,Series RL,0.296984,0.000110432824448,,6.938699,87.549179,-142.255249,250000,0.013032,25.000000,1,6.945052,0.090509,100.000000,125.293922,0,10000,0,0.296984,20.000000
34,2.060770,Series RL,0.328021,0.000110920029559,,6.969311,87.305274,66.870483,250000,0.013027,25.000000,1,6.977026,0.090892,100.000000,-25.824241,0,10000,0,0.328021,20.000000
35,2.126883,Series RL,0.317398,0.000110895058149,,6.967742,87.391838,74.386245,250000,0.013031,25.000000,1,6.974967,0.090892,100.000000,-18.221910,0,10000,0,0.317398,20.000000
36,2.197207,Series RL,0.288593,0.000111049533937,,6.977448,87.631538,75.471427,250000,0.013033,25.000000,1,6.983414,0.091012,100.000000,-16.897022,0,10000,0,0.288593,20.000000
37,2.256991,Series RL,0.320847,0.000110300821338,,6.930405,87.349349,-131.655807,250000,0.013035,25.000000,1,6.937828,0.090433,100.000000,135.693527,0,10000,0,0.320847,20.000000
38,2.311881,Series RL,0.316778,0.000110495467833,,6.942635,87.387527,106.129234,250000,0.013027,25.000000,1,6.949858,0.090537,100.000000,13.516754,0,10000,0,0.316778,20.000000
39,2.366527,Series RL,0.332934,0.000110679291793,,6.954185,87.259033,154.982971,250000,0.013034,25.000000,1,6.962150,0.090747,100.000000,62.242012,0,10000,0,0.332934,20.000000
40,2.421310,Series RL,0.306117,0.000110758009827,,6.959131,87.481300,120.319328,250000,0.013029,25.000000,1,6.965861,0.090755,100.000000,27.800632,0,10000,0,0.306117,20.000000
41,2.475863,Series RL,0.325520,0.000110532423611,,6.944957,87.316429,12.581276,250000,0.013032,25.000000,1,6.952581,0.090604,100.000000,-80.102302,0,10000,0,0.325520,20.000000
42,2.554712,Series RL,0.333984,0.000110918772235,,6.969232,87.256332,68.367370,250000,0.013029,25.000000,1,6.977230,0.090904,100.000000,-24.376295,0,10000,0,0.333984,20.000000
43,2.617919,Series RL,0.332660,0.000110549803331,,6.946049,87.258087,58.262466,250000,0.013031,25.000000,1,6.954010,0.090618,100.000000,-34.479450,0,10000,0,0.332660,20.000000
44,2.673671,Series RL,0.291479,0.000110203864147,,6.924313,87.589546,-94.344200,250000,0.013034,25.000000,1,6.930445,0.090334,100.000000,173.245361,0,10000,0,0.291479,20.000000
45,2.728147,Series RL,0.303641,0.000110660113622,,6.952980,87.499450,-126.664108,250000,0.013035,25.000000,1,6.959607,0.090716,100.000000,140.835311,0,10000,0,0.303641,20.000000
